date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:09:58	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263ea0598-154%22	https://www.classcentral.com/robots.txt		(from )
09:09:59	664067/664067	---MCZ	200	added ('OK')	text/html	date:Wed,%2015%20Feb%202023%2012:09:59%20GMT	https://www.classcentral.com/	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/index.html	(from )
09:10:01	9463/9463	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
09:10:01	2206/2206	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/apple-touch-icon.png	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
09:10:02	975/975	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/favicon-32x32.png	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
09:10:03	731/731	---M--	200	added ('OK')	image/png	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/favicon-16x16.png	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
09:10:04	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263ea05a7-2a1%22	https://www.classcentral.com/site.webmanifest	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
09:10:05	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263ea0598-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
09:10:07	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263ea0598-391%22	https://www.classcentral.com/opensearch.xml	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
09:10:07	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
09:10:08	1328/1328	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
09:10:09	1488/1488	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
09:10:10	5588/5588	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
09:10:11	12520/12520	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:40%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
09:10:12	15280/15280	---M--	200	added ('OK')	application/octet-stream	date:Mon,%2013%20Feb%202023%2009:40:55%20GMT	https://www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	/home/mauri/Documents/Temporary/HTTrack-copy/scraping-challenge/www.classcentral.com/fonts/source-sans-pro-hinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
